Timestamp,Activity_Count,mod7,Hour,Minute,DayOfWeek,Weekend
2025-04-07 18:30:00,1,6,18,30,0,False
2025-04-07 19:00:00,2,2,19,0,0,False
2025-04-07 19:10:00,0,3,19,10,0,False
2025-04-07 19:20:00,0,4,19,20,0,False
2025-04-07 19:30:00,0,5,19,30,0,False
2025-04-07 19:40:00,3,6,19,40,0,False
2025-04-07 20:10:00,1,2,20,10,0,False
2025-04-07 20:20:00,0,3,20,20,0,False
2025-04-07 20:30:00,8,4,20,30,0,False
2025-04-07 20:40:00,1,5,20,40,0,False
2025-04-07 20:50:00,0,6,20,50,0,False
2025-04-07 21:20:00,54,2,21,20,0,False
2025-04-07 21:30:00,257,3,21,30,0,False
2025-04-07 21:40:00,7,4,21,40,0,False
2025-04-07 21:50:00,0,5,21,50,0,False
2025-04-07 22:00:00,67,6,22,0,0,False
2025-04-07 22:30:00,1,2,22,30,0,False
2025-04-07 22:40:00,5,3,22,40,0,False
2025-04-07 22:50:00,0,4,22,50,0,False
2025-04-07 23:00:00,0,5,23,0,0,False
2025-04-07 23:10:00,1,6,23,10,0,False
2025-04-07 23:40:00,0,2,23,40,0,False
2025-04-07 23:50:00,1,3,23,50,0,False
2025-04-08 00:00:00,0,4,0,0,1,False
2025-04-08 00:10:00,0,5,0,10,1,False
2025-04-08 00:20:00,0,6,0,20,1,False
2025-04-08 00:50:00,0,2,0,50,1,False
2025-04-08 01:00:00,0,3,1,0,1,False
2025-04-08 01:10:00,0,4,1,10,1,False
2025-04-08 01:20:00,0,5,1,20,1,False
2025-04-08 01:30:00,0,6,1,30,1,False
2025-04-08 02:00:00,0,2,2,0,1,False
2025-04-08 02:10:00,0,3,2,10,1,False
2025-04-08 02:20:00,0,4,2,20,1,False
2025-04-08 02:30:00,1,5,2,30,1,False
2025-04-08 02:40:00,0,6,2,40,1,False
2025-04-08 03:10:00,0,2,3,10,1,False
2025-04-08 03:20:00,0,3,3,20,1,False
2025-04-08 03:30:00,0,4,3,30,1,False
